628,카드의정석 POINT CHECK x 아기상어,우리카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,VISABCmastercard,https://api.card-gorilla.com:8080/storage/card/628/card_img/21394/628card.png
629,[IBK] 그린카드v2,IBK기업은행,"해외겸용 10,000원",전월실적20만원 이상,VISAUnionPay,https://api.card-gorilla.com:8080/storage/card/629/card_img/21395/629card.png
630,Easy all 카드,KB국민카드,"국내전용 20,000원 해외겸용 20,000원",전월실적50만원 이상,VISAUnionPay,https://api.card-gorilla.com:8080/storage/card/630/card_img/21396/630card.png
631,[NH농협] 그린카드v2,NH농협카드,"국내전용 10,000원 해외겸용 12,000원",전월실적20만원 이상,mastercardUnionPayJCB,https://api.card-gorilla.com:8080/storage/card/631/card_img/21397/631card6.png
632,[DGB대구] 그린카드v2,DGB대구은행,"국내전용 10,000원 해외겸용 12,000원",전월실적40만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/632/card_img/21398/632card.png
633,[BNK부산] 그린카드v2,BNK부산은행,"국내전용 10,000원 해외겸용 12,000원",전월실적40만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/633/card_img/21399/633card.png
634,Easy all 티타늄카드,KB국민카드,"국내전용 30,000원 해외겸용 30,000원",전월실적50만원 이상,VISAUnionPay,https://api.card-gorilla.com:8080/storage/card/634/card_img/21400/634card.png
635,올바른 NEW HAVE카드,NH농협카드,"국내전용 12,000원 해외겸용 12,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/635/card_img/28872/635card.png
636,올바른 NEW HAVE+카드,NH농협카드,"국내전용 23,000원 해외겸용 25,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/636/card_img/21402/636card.png
638,신한플러스 멤버십 체크,신한카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/638/card_img/21403/638card.png
639,Deep On 체크,신한카드,국내전용 없음 해외겸용 없음,전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/639/card_img/21404/639card.png
641,신한카드 Global+ 체크,신한카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/641/card_img/21405/641card.png
642,신한카드 Global Air 스카이패스 체크,신한카드,"국내전용 10,000원 해외겸용 10,000원",전월실적20만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/642/card_img/21406/642card.png
643,신한카드 Global Air 아시아나 체크,신한카드,"국내전용 10,000원 해외겸용 10,000원",전월실적20만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/643/card_img/21407/643card.png
644,JYP Fan’s EDM 체크,신한카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/644/card_img/21408/644card.png
645,L.pay 신한카드 체크,신한카드,국내전용 없음 해외겸용 없음,전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/645/card_img/21409/645card.png
646,신한카드 Deep Dream 체크(미니언즈),신한카드,해외겸용 없음,전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/646/card_img/21410/646card.png
649,마이핏카드(적립형),KB국민카드,"국내전용 30,000원 해외겸용 30,000원",전월실적50만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/649/card_img/21412/649card.png
650,마이핏카드(할인형),KB국민카드,"국내전용 10,000원 해외겸용 10,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/650/card_img/21413/650card.png
651,네이버페이 라인프렌즈 신한카드,신한카드,"국내전용 7,000원 해외겸용 10,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/651/card_img/21414/651card.png
652,올바른 OIL&PASS,NH농협카드,"국내전용 13,000원 해외겸용 15,000원",전월실적40만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/652/card_img/21415/652card.png
653,Air Money(에어머니)카드,NH농협카드,"국내전용 15,000원 해외겸용 15,000원",전월실적없음,UnionPay,https://api.card-gorilla.com:8080/storage/card/653/card_img/21416/653card.png
654,올바른 MYPICK 카드,NH농협카드,"국내전용 13,000원 해외겸용 13,000원",전월실적40만원 이상,VISAUnionPay,https://api.card-gorilla.com:8080/storage/card/654/card_img/21417/654card.png
655,Daily With(데일리위드)카드,IBK기업은행,"국내전용 10,000원 해외겸용 12,000원",전월실적50만원 이상,BCmastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/655/card_img/21418/655card.png
656,카드의 정석 SSO3 NEW-TRO CHECK,우리카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/656/card_img/21419/656card.png
657,taptap DIGITAL,삼성카드,"국내전용 10,000원 해외겸용 10,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/657/card_img/27715/657card.png
658,taptap DRIVE,삼성카드,"국내전용 10,000원 해외겸용 10,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/658/card_img/27733/0658card.png
659,taptap SHOPPING,삼성카드,"국내전용 10,000원 해외겸용 10,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/659/card_img/27716/659card.png
660,LIKIT FUN+ 카드,롯데카드,"국내전용 15,000원 해외겸용 15,000원",전월실적40만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/660/card_img/21423/660card.png
661,카드의정석 UNTACT AIR,우리카드,"국내전용 15,000원 해외겸용 15,000원",전월실적50만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/661/card_img/21424/661card.png
