1325,Y카드(개인 체크),BNK부산은행,"해외겸용 1,000원",전월실적20만원 이상,UnionPay,https://api.card-gorilla.com:8080/storage/card/1325/card_img/20856/1325card.png
1326,그린 카드,하나카드,국내전용 없음,전월실적없음,,https://api.card-gorilla.com:8080/storage/card/1326/card_img/20855/1326card.png
1327,한베가족 썸(SUM)타는 우리 체크카드,우리카드,국내전용 없음 해외겸용 없음,전월실적25만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/1327/card_img/20854/1327card.png
1328,Young Hana 체크카드 with OKcashbag,하나카드,해외겸용 없음,전월실적20만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1328/card_img/20853/1328card.png
1329,우체국 Biz플러스 체크카드,우체국,해외겸용 없음,전월실적50만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1329/card_img/20852/1329card.png
1330,오라클 삼성지엔미포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1330/card_img/20850/1330card.png
1331,야우리백화점 삼성티클래스카드,삼성카드,"해외겸용 20,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1331/card_img/20849/1331card.png
1332,야우리백화점 삼성애니패스카드,삼성카드,"국내전용 5,000원 해외겸용 7,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1332/card_img/20847/1332card.png
1333,VIVA+ Allpoint 체크카드,하나카드,해외겸용 없음,전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/1333/card_img/21823/1333card.png
1334,우체국 성공partner 체크카드,우체국,국내전용 없음,전월실적30만원 이상,BC,https://api.card-gorilla.com:8080/storage/card/1334/card_img/20841/1334card.png
1335,The-K Auto 체크카드,하나카드,해외겸용 없음,전월실적25만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1335/card_img/20840/1335card.png
1336,T&R(티앤알) 하나카드,하나카드,"국내전용 25,000원 해외겸용 25,000원",전월실적40만원 이상,AMEX,https://api.card-gorilla.com:8080/storage/card/1336/card_img/20839/1336card.png
1337,새마을금고 삼성카드,삼성카드,"해외겸용 15,000원 해외겸용 5,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1337/card_img/20838/1337card.png
1338,삼성티클래스카드,삼성카드,"해외겸용 20,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1338/card_img/20837/1338card.png
1339,골프존 KB국민카드,KB국민카드,"국내전용 12,000원 해외겸용 17,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1339/card_img/20836/1339card.png
1340,New Happy 하나카드,하나카드,"국내전용 10,000원 해외겸용 10,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/1340/card_img/20835/1340card.png
1341,삼성티클래스앤오일카드,삼성카드,"해외겸용 10,000원",전월실적10만원 이상,,https://api.card-gorilla.com:8080/storage/card/1341/card_img/20834/1341card.png
1342,새마을금고 삼성티클래스앤오일카드,삼성카드,"해외겸용 10,000원",전월실적10만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1342/card_img/20833/1342card.png
1343,북스리브로 우리카드,우리카드,"해외겸용 5,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1343/card_img/20813/1343card.png
1344,전자랜드 삼성티클래스앤오일카드,삼성카드,"국내전용 20,000원 해외겸용 22,000원",전월실적20만원 이상,,https://api.card-gorilla.com:8080/storage/card/1344/card_img/20812/1344card.png
1345,우리군인연금증카드,우리카드,"해외겸용 10,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1345/card_img/20811/1345card.png
1346,My Trip SKYPASS 카드 My flight,하나카드,"해외겸용30,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/1346/card_img/20810/1346card.png
1347,현대카드M2 Lady BLUEmembers Platinum,현대카드,"해외겸용 30,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/1347/card_img/20808/1347card.png
